Tilman Fertitta ,United States,"Houston Rockets, entertainment",Food & Beverage 
Prajogo Pangestu ,Indonesia,petrochemicals,Diversified 
"Edward Roski, Jr. ",United States,real estate,Real Estate 
Teddy Sagi ,Israel,gambling software,Gambling & Casinos 
Thomas Straumann ,Switzerland,dental implants,Healthcare 
David Sun ,United States,computer hardware,Technology 
John Tu ,United States,computer hardware,Technology 
Erich Wesjohann & family ,Germany,poultry genetics,Food & Beverage 
Xu Jinfu ,China,chemicals,Manufacturing 
Alexander Abramov ,Russia,"steel, mining",Metals & Mining 
Neil Bluhm ,United States,real estate,Real Estate 
Don Hankey ,United States,auto loans,Finance & Investments 
Kwee brothers ,Singapore,Real Estate,Real Estate 
Jane Lauder ,United States,Estée Lauder,Fashion & Retail 
Gwendolyn Sontheim Meyer ,United States,Cargill,Food & Beverage 
John Reece ,United Kingdom,chemicals,Manufacturing 
Eric Smidt ,United States,hardware stores,Fashion & Retail 
Viktor Vekselberg ,Russia,"metals, energy",Energy 
Ronald Wanek ,United States,furniture,Manufacturing 
Rene Benko ,Austria,"real estate, retail",Real Estate 
John Brown ,United States,medical equipment,Healthcare 
Chen Zhiping ,China,e-cigarettes,Manufacturing 
Andrew Currie ,United Kingdom,chemicals,Manufacturing 
Jim Davis & family ,United States,New Balance,Manufacturing 
Charles Dolan & family ,United States,cable television,Media & Entertainment 
Tom Golisano ,United States,payroll services,Service 
Hui Wing Mau ,Hong Kong,real estate,Real Estate 
Daniel Kretinsky ,Czech Republic,"energy, investments",Energy 
Massimiliana Landini Aleotti & family ,Italy,pharmaceuticals,Healthcare 
Joe Lewis ,United Kingdom,investments,Finance & Investments 
Li Chunan ,China,renewable energy,Manufacturing 
Lin Muqin & family ,China,beverages,Food & Beverage 
Shigenobu Nagamori ,Japan,motors,Manufacturing 
Kjell Inge Rokke ,Norway,"shipping, seafood",Logistics 
Wang Wenjing ,China,business software,Technology 
Chris Xu ,China,e-commerce,Fashion & Retail 
Samuel Yin ,Taiwan,retail,Diversified 
M.A. Yusuff Ali ,India,retail,Fashion & Retail 
Denise Coates ,United Kingdom,online gambling,Gambling & Casinos 
Ken Fisher ,United States,money management,Finance & Investments 
